cod_obra	titulo_umpg	isrc	artista_deezer	album	fecha_lanzamiento	portada	url	titulo_deezer
DDJ520	SUBE ARRIBA	QZTBD2489905	8belial	Sube Arriba	2024-11-12	https://cdn-images.dzcdn.net/images/cover/02e84ac04dcbfece6e19933d11f6143f/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2984411061	Sube Arriba
DDJ526	DISOBEY ANTHEM	QZK6N2434441	yyy891	DISOBEY VOL. I	2024-05-03	https://cdn-images.dzcdn.net/images/cover/2aee6e68b0a021b6cb17c3c137410dc4/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2766623721	DISOBEY ANTHEM
DDJ510	BAJATE GYAL	QZTB32465099	roomtrash6	Bajate Gyal	2024-08-13	https://cdn-images.dzcdn.net/images/cover/790cbea1e9d7141bafb38f7aa3c378d3/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2939766101	Bajate Gyal
DDJ537	JAJAJA	QZHN42437984	yyy891	DISOBEY VOL. I	2024-05-03	https://cdn-images.dzcdn.net/images/cover/2aee6e68b0a021b6cb17c3c137410dc4/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2766623771	JAJAJA
DDJ461	POLOTEAM	QZTBF2385876	8belial	PoloTeam	2023-11-13	https://cdn-images.dzcdn.net/images/cover/f020720a53f61c859ae084fb6886480b/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2540747731	PoloTeam
DDJ525	BLUNT	QZDA72414322	8belial	BLUNT	2024-02-07	https://cdn-images.dzcdn.net/images/cover/cae9f5bd473cd0b365772be8b04b0f9b/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2763396881	BLUNT
DDJ523	CANCHA	QZGLM1937552	Ita Cunha	Do Interior (Acústico)	2016-09-10	https://cdn-images.dzcdn.net/images/cover/5998754b676aa8d87097d4de251b827f/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/704471622	Cancha (Acústico)
DDJ522	GALOPANDO EN UN CABALLO	QM6MZ2421534	8belial	Galopando en un Caballo	2024-04-09	https://cdn-images.dzcdn.net/images/cover/f135d9c9bbc205be5b5010bc77c62427/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2733452231	Galopando en un Caballo
DDJ527	TRUE RELIGION	QM6N22405337	8belial	DISOBEY VOL. I	2024-05-03	https://cdn-images.dzcdn.net/images/cover/2aee6e68b0a021b6cb17c3c137410dc4/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2766623761	TRUE RELIGION
DDJ524	M & TOSEINA	QM6N22405280	yyy891	DISOBEY VOL. I	2024-05-03	https://cdn-images.dzcdn.net/images/cover/2aee6e68b0a021b6cb17c3c137410dc4/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2766623711	M & TOSEINA
DDJ517	CHOCOBOM	QM6P42482415	8belial	ChocoBom	2024-07-03	https://cdn-images.dzcdn.net/images/cover/389742422495532c368f06c38926ef92/250x250-000000-80-0-0.jpg	https://www.deezer.com/track/2865406362	ChocoBom
