cod_obra	titulo_umpg	royalties	share_obra	confianza	cancion_id	titulo_malo	isrc
DHM333	ENVIDIA	9.4674	22.50/10.00	EXACTO	can_oeaqjynj3zj8	ENVIDIA	BK4DA2500852
DHM339	RIRI	8.5708	20.00/10.00	EXACTO	can_6exjlynp8les	RIRI	BK4DA2500694
DDJ467	SIMON, EL	7.2333	100.00	HUERFANA			
DDJ521	VERTICAL SPLIT	6.9093	70.00/30.00	EXACTO	can_wvt5wgpc4yuk	VERTICAL SPLIT	BK4DA2455534
DDJ520	SUBE ARRIBA	5.8829	70.00/30.00	EXACTO	can_093d245e1f4d	SUBE ARRIBA	QZTBD2489905
DDJ526	DISOBEY ANTHEM	3.8303	25.00	EXACTO	can_23110c78cefa	DISOBEY ANTHEM	QZK6N2434441
DHM336	DAB	2.8307	20.00/10.00	EXACTO	can_ebhavproijbo	DAB	BK4DA2500690
DDJ537	JAJAJA	2.4671	20.00	EXACTO	can_b401a9f78060	JAJAJA	QZHN42437984
DDJ535	DIAMANTES	2.2049	20.00	EXACTO	can_n4kznjxo0n2y	DIAMANTES	BK4DA2455206
DDJ479	CREAM PIE	2.2027	70.00/30.00	EXACTO	can_5a6c092036e3	CREAM PIE	GBLFP2472177
DDJ510	BAJATE GYAL	1.8967	35.00/30.00	EXACTO	can_6c476c4c6838	BAJATE GYAL	QZTB32465099
DHM312	GYAL ARMA LETAL	1.7573	70.00/30.00	EXACTO	can_96fdb8i2iq3g	GYAL ARMA LETAL	BK4DA2504951
DHM310	NEW MONEY	1.6746	70.00/30.00	EXACTO	can_vv7m18r21sej	NEW MONEY	BK4DA2504948
DDJ485	GIGOLO EUROPEO (BOUNCE)	1.5569	70.00/30.00	EXACTO	can_4618c1162a37	GIGOLO EUROPEO (BOUNCE)	QZHN42402243
DHM318	BEBEBE	1.1954	50.00	EXACTO	can_vwihtzhe3l1y	BEBEBE	BK4DA2463746
DDJ486	ANTIGUA PUTA NUEVA CASA	1.1858	70.00/30.00	EXACTO	can_e2920b32785b	ANTIGUA PUTA NUEVA CASA	QM6N22498682
DDJ529	OSAMA BIN GUAPO (PAW PAW PAW)	1.1536	33.33	EXACTO	can_omm05h6pd4i5	OSAMA BIN GUAPO (PAW PAW PAW)	BK4DA2457386
DHM332	SMINT	1.132	20.00/10.00	EXACTO	can_dgoch0611anu	SMINT	BK4DA2500692
DHM326	ESTA PIBA	1.0663	70.00/30.00	EXACTO	can_nsvjkbf12gum	ESTA PIBA	BK4DA2504134
DHM317	OTRA VEZ	1.0513	50.00	EXACTO	can_tco97rmh2y1h	OTRA VEZ	BK4DA2504950
DDJ536	LOLLYPOP	1.0511	20.00	EXACTO	can_8dcjwm8znytn	LOLLYPOP	BK4DA2463505
DHM341	BIG BOY	0.8383	70.00/30.00	EXACTO	can_g7ut93akpfon	BIG BOY	BK4DA2502875
DDJ525	BLUNT	0.8382	35.00/30.00	EXACTO	can_611d4f9055fe	BLUNT	QZDA72414322
DHM308	DOLCE DONCELLA	0.7982	35.00/30.00	EXACTO	can_q6q48dujc5k0	DOLCE DONCELLA	BK4DA2500691
DDJ495	SWAGPPENHEIMER	0.765	70.00/30.00	EXACTO	can_h5z2i2q3gngp	SWAGPPENHEIMER	BK4DA2446773
DDJ523	CANCHA	0.7438	35.00/30.00	HUERFANA			
DHM316	CASH FEELING	0.7039	70.00/30.00	EXACTO	can_ltl5ut4w3jdg	CASH FEELING	BK4DA2504949
DHM309	SKY W DIAMONDS	0.6492	35.00/30.00	EXACTO	can_1f0cw1p4ejkf	SKY W DIAMONDS	BK4DA2500695
DDJ527	TRUE RELIGION	0.5865	25.00	EXACTO	can_fd637c199d10	TRUE RELIGION	QM6N22405337
DDJ476	GLO MALAGA	0.5325	35.00/30.00	EXACTO	can_cfb5adbf050c	GLO MALAGA	GBLFP2357725
DDJ522	GALOPANDO EN UN CABALLO	0.4238	35.00/30.00	EXACTO	can_773776cfbb70	GALOPANDO EN UN CABALLO	QM6MZ2421534
DHM331	PASTEL, EL	0.4082	35.00/30.00	FUERTE	can_f56kmjbvzvk3	EL PASTEL	BK4DA2500693
DDJ506	YOLONOTO	0.408	70.00/30.00	EXACTO	can_f8d7ee9d3cd9	YOLONOTO	QM6N22444408
DDJ461	POLOTEAM	0.3658	100.00	EXACTO	can_b197aa0a5000	POLOTEAM	QZTBF2385876
DDJ533	CADILLAC	0.328	25.00	EXACTO	can_bfaaefc8d75b	CADILLAC	QM6N22405294
DDJ524	M & TOSEINA	0.2883	35.00/30.00	EXACTO	can_89703ab10982	M & TOSEINA	QM6N22405280
DDJ513	REINA DEL HASH	0.2649	70.00/15.00	EXACTO	can_aeb30d92c32f	REINA DEL HASH	GBMA22499178
DDJ532	SPIDERMAN	0.2624	35.00/15.00	EXACTO	can_6c71d59d299e	SPIDERMAN	QM6N22405277
DDJ517	CHOCOBOM	0.2586	35.00/15.00	EXACTO	can_473cbea78c4d	CHOCOBOM	QM6P42482415
DDJ518	TOTALAND	0.251	70.00/15.00	EXACTO	can_a337855ff614	TOTALAND	QM7282440723
DDJ515	PACA, LA	0.2097	70.00/15.00	HUERFANA			
DDJ500	GLOCK CHAMPIONS	0.2067	35.00/30.00	HUERFANA			
DDJ478	SEXXXTING	0.1928	70.00/30.00	EXACTO	can_e5ecc0af703b	SEXXXTING	GBLFP2405478
DDJ466	TATIANA	0.1722	100.00	EXACTO	can_375d41e19c61	TATIANA	QZWFL2394263
DHM325	BABYBOO	0.1609	70.00/30.00	EXACTO	can_uvkdjugp1r80	BABYBOO	BK4DA2507890
DDJ480	DINERO HACEDORES	0.1587	70.00/30.00	EXACTO	can_aee3c818e332	DINERO HACEDORES	QM6N22471132
DDJ489	POLLO EMPANADO	0.1552	35.00/30.00	EXACTO	can_5aca7e823519	POLLO EMPANADO	QZTB82425642
DDJ469	ES LO KE HAY (DAY'N'NIGHT REMIX REMIX)	0.1542	100.00	EXACTO	can_6dy9c83s2yhf	ES LO KE HAY (DAY 'N' NIGHT REMIX REMIX)	BK4DA2455907
DDJ487	FANTA Y LEAN	0.1467	70.00/30.00	EXACTO	can_730be78c4285	FANTA Y LEAN	QM6P42444964
DDJ534	INTRO	0.1432	20.00	EXACTO	can_j6vri8f2rc95	INTRO	BK4DA2504946
DDJ488	EN LA BARRIGA	0.131	70.00/30.00	EXACTO	can_30cf03fd3173	EN LA BARRIGA	QZTBA2481819
DDJ519	ROLLINBACKLLYWOODS	0.1185	70.00/30.00	EXACTO	can_42cd4bf26c70	ROLLINBACKLLYWOODS	QM6P42434722
DDJ507	SOUTSHIDE	0.1126	70.00/30.00	HUERFANA			
DDJ481	CARLOTA	0.1013	53.85/46.15	EXACTO	can_6a0677e3fa60	CARLOTA	QM6N22470994
DDJ512	RETRASADO	0.0911	70.00/15.00	EXACTO	can_a900dd189ce1	RETRASADO	QM6P42445017
DDJ497	SWAG YISUS	0.0663	70.00/30.00	EXACTO	can_2116ca723585	SWAG YISUS	QM6P42490013
DDJ516	MASTER CHIEF	0.0464	70.00/15.00	FUERTE	can_c7o81xwnq8ag	MASTER CHIEF (TERNERA)	BK4DA2451743
DDJ499	WIILEAN	0.0414	82.35/17.65	EXACTO	can_f3f21c9403b8	WIILEAN	QZWFL2383066
DDJ477	DC DULCE CAMINO	0.0398	70.00/30.00	EXACTO	can_c8408f0658f9	DC DULCE CAMINO	UKXN22345664
DDJ509	AXE XOCOLATE	0.0376	70.00/15.00	EXACTO	can_5756b2757273	AXE XOCOLATE	QM6P42445053
DHM322	CRECEMOS	0.0354	70.00/30.00	EXACTO	can_ztwks35knlo4	CRECEMOS	BK4DA2504480
DDJ482	A VER K CONO ME PONGO HOY	0.0354	50.00	EXACTO	can_d9a7f3782bbf	A VER K CONO ME PONGO HOY	GBLFP2205583
